semestre,num_postulantes,becas_otorgadas,tasa_desercion_anterior,campania_difusion,num_matriculados
2015-I,211,10,0.106,0,120
2015-II,179,9,0.115,0,88
2016-I,180,12,0.15,0,101
2016-II,146,8,0.151,0,75
2017-I,198,11,0.158,1,112
2017-II,197,10,0.146,0,98
2018-I,197,13,0.142,1,102
2018-II,217,13,0.135,0,110
2019-I,224,15,0.156,1,130
2019-II,201,15,0.114,0,117
2020-I,209,17,0.127,0,120
2020-II,221,18,0.137,0,137
2021-I,246,20,0.096,1,174
2021-II,249,25,0.153,1,154
2022-I,220,15,0.11,0,139
2022-II,227,26,0.124,1,140
2023-I,265,22,0.167,1,137
2023-II,285,19,0.106,1,176
2024-I,260,24,0.111,1,166
2024-II,253,25,0.152,1,160
2025-I,290,30,0.098,1,198
2025-II,269,23,0.11,0,160
2026-I,292,29,0.128,0,181
2026-II,311,29,0.126,1,195
